0.487,0.859,4,-4.403,1,0.0488,0.00204,0,0.322,0.377,148.037,228480,4,country
0.609,0.807,5,-7.221,1,0.0972,0.00403,5.42E-06,0.0926,0.492,119.073,238493,4,country
0.711,0.796,10,-5.87,1,0.0341,0.0716,0.0045,0.262,0.901,109.991,208733,4,country
0.707,0.52,1,-7.058,1,0.0279,0.0143,5.89E-06,0.16,0.432,106.975,179164,4,country
0.608,0.463,10,-9.667,1,0.0274,0.166,0.0146,0.0975,0.484,142.703,210133,4,country
0.672,0.721,7,-5.557,1,0.0246,0.3,1.98E-06,0.279,0.812,99.978,188613,4,country
0.535,0.777,4,-3.292,1,0.207,0.0187,1.62E-06,0.136,0.664,171.72,215107,4,country
0.592,0.891,10,-3.144,1,0.0512,0.0267,0,0.352,0.674,99.983,174255,4,country
0.609,0.884,1,-4.235,1,0.034,0.00191,0,0.109,0.949,127.974,194480,4,country
0.513,0.949,0,-1.723,1,0.0461,0.0104,0,0.154,0.797,159.985,235266,4,country
0.538,0.764,9,-5.235,1,0.0556,0.12,1.41E-06,0.111,0.699,169.919,187867,4,country
0.689,0.614,4,-6.137,0,0.0306,0.252,1.95E-05,0.178,0.411,141.97,219053,4,country
0.628,0.757,7,-3.561,1,0.0281,0.113,0,0.263,0.727,96.016,172253,4,country
0.697,0.82,1,-4.275,1,0.0448,0.00928,0.000118,0.122,0.815,94.995,214096,4,country
0.523,0.865,7,-4.697,1,0.0989,0.0112,0,0.153,0.325,135.115,228640,4,country
0.375,0.889,3,-3.704,1,0.0991,0.0848,0,0.136,0.881,199.669,185200,4,country
0.6,0.851,11,-4.645,1,0.0388,0.00566,9.78E-06,0.0891,0.727,98.007,186119,4,country
0.517,0.776,11,-5.271,1,0.0362,0.0144,0,0.113,0.448,96.002,216533,4,country
0.555,0.895,5,-4.787,1,0.0472,0.131,0,0.0922,0.38,138.076,210173,4,country
0.467,0.701,4,-4.997,1,0.0302,0.191,0,0.0769,0.28,132.041,214219,3,country
0.674,0.705,0,-7.516,1,0.0259,0.159,6.11E-06,0.106,0.635,95.99,217387,4,country
0.523,0.774,7,-5.982,1,0.0459,0.0399,0,0.168,0.46,99.971,187996,4,country
0.551,0.657,6,-5.743,1,0.0287,0.0211,0,0.29,0.695,94.969,188556,4,country
0.589,0.918,5,-4.192,0,0.132,0.0555,0,0.0868,0.622,77.14,209587,4,country
0.533,0.907,11,-3.793,1,0.0406,0.0292,0,0.386,0.7,150.99,183160,4,country
0.434,0.831,8,-4.774,1,0.0453,0.0651,0,0.119,0.596,156.034,185440,4,country
0.629,0.464,4,-8.72,1,0.0334,0.75,0,0.0853,0.523,156.051,195053,4,country
0.351,0.736,6,-3.318,1,0.0459,0.00495,0,0.109,0.237,140.299,246467,3,country
0.565,0.855,5,-4.189,1,0.0557,0.0445,0,0.32,0.852,74.98,208893,4,country
0.687,0.842,7,-4.382,1,0.058,0.105,0,0.0436,0.778,87.968,190227,4,country
0.485,0.306,0,-8.431,1,0.0409,0.794,0,0.122,0.224,203.729,207267,4,country
0.383,0.703,4,-6.988,1,0.228,0.216,5.47E-06,0.131,0.57,88.502,213939,4,country
0.549,0.869,4,-4.905,0,0.0289,0.00261,1.77E-06,0.29,0.433,91.988,178733,4,country
0.472,0.884,9,-2.306,1,0.0584,0.185,0,0.178,0.718,159.96,216093,4,country
