danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,Genre Class
0.628,0.757,7,-3.561,1,0.0281,0.113,0,0.263,0.727,96.016,172253,52.99698982,47.45624644,15.81581466,-10.95289002,21.54754175,-19.58886965,-3.92297556,1.254643585,-6.861659878,-0.309610998,-9.505953157,-7.013065173,0.364242363,0.443769857,0.678869654,0.215851324,0.294637475,0.237869654,0.32910387,0.289985743,0.177395112,0.383389002,0.209354379,0.385425662,country
0.697,0.82,1,-4.275,1,0.0448,0.00928,0.000118,0.122,0.815,94.995,214096,50.96594412,56.57523399,-22.1185099,-5.506343423,13.21389406,-22.35153783,-1.893484284,2.174930151,-3.83401979,3.589830035,-10.9535844,-2.841296857,0.657955763,0.726281723,0.331859139,0.364164144,0.287708964,0.292594878,0.332194412,0.374784633,0.542316647,0.31601979,0.331114086,0.298324796,country
0.523,0.865,7,-4.697,1,0.0989,0.0112,0,0.153,0.325,135.115,228640,50.69564835,35.03119505,10.32887363,-15.31629533,20.37439835,-28.09038049,9.247875,2.562907967,-3.815043956,2.707223901,-9.180912088,-6.03431044,0.527803571,0.50418544,0.488331044,0.309325549,0.408682692,0.316690934,0.358053571,0.500168956,0.341396978,0.36095467,0.262557692,0.484688187,country
0.538,0.764,9,-5.235,1,0.0556,0.12,1.41E-06,0.111,0.699,169.919,187867,50.2106652,31.13079094,-21.58485526,-19.01392836,17.49467251,-24.22805263,-16.73130556,-3.016811404,-2.563549708,1.244305556,-8.822573099,-3.588201754,0.435587719,0.632226608,0.286577485,0.258633041,0.43955117,0.265391813,0.339321637,0.240327485,0.318866959,0.41626462,0.25247807,0.457194444,country
0.6,0.851,11,-4.645,1,0.0388,0.00566,9.78E-06,0.0891,0.727,98.007,186119,50.96076219,54.5739291,4.743651403,-9.024404727,12.51432201,-29.67392024,-2.240199409,-2.375983752,-5.353220089,1.901053176,-8.650475628,1.44644904,0.41093353,0.420100443,0.244766617,0.344988183,0.352357459,0.280691285,0.39132644,0.277053176,0.398691285,0.239536189,0.296400295,0.561967504,country
0.555,0.895,5,-4.787,1,0.0472,0.131,0,0.0922,0.38,138.076,210173,50.64485084,22.41876712,8.462541857,-17.63993151,22.34903805,-26.57888128,-3.783738204,1.374680365,-10.52666667,2.293245053,-8.922980213,-5.607718417,0.593681887,0.379225266,0.342278539,0.241146119,0.309716895,0.484715373,0.295302892,0.371863014,0.261541857,0.42613242,0.371648402,0.255458143,country
0.169,0.331,0,-6.625,1,0.0348,0.76,4.35E-05,0.112,0.146,168.892,197350,48.23958218,0.99129703,27.80032277,-14.13631881,24.69051287,-23.90310099,-12.77910495,-3.026641584,0.648772277,-0.585655446,-5.028966337,0.882754455,0.428065347,0.124580198,0.214326733,0.10719604,0.345871287,0.214831683,0.170976238,0.577342574,0.135825743,0.206439604,0.10040396,0.277744554,country
0.467,0.701,4,-4.997,1,0.0302,0.191,0,0.0769,0.28,132.041,214219,51.02040694,18.17061987,17.25416246,-14.03768297,23.26776656,-25.45850946,0.130563091,-1.447078864,-8.820635647,-3.295250789,-6.817099369,-2.773971609,0.26901735,0.423310726,0.204902208,0.280425868,0.559555205,0.258817035,0.398870662,0.212960568,0.36844164,0.3515,0.190135647,0.344958991,country
0.523,0.774,7,-5.982,1,0.0459,0.0399,0,0.168,0.46,99.971,187996,50.17555971,50.45408777,-3.90367482,-22.92856259,31.50876547,-28.13229353,-7.24614964,-2.947946763,-3.432801439,1.436027338,-10.87533381,-5.301153957,0.44981295,0.442493525,0.53394964,0.260322302,0.407648921,0.260070504,0.318736691,0.521651799,0.239184173,0.321669065,0.202604317,0.339594245,country
0.652,0.712,4,-4.588,1,0.0388,0.596,0,0.0814,0.553,120.063,202920,50.60057323,8.394014173,22.56851496,-9.79679685,35.73784409,-19.2757748,-5.539370079,-3.932283465,-13.28065984,-7.67803622,-8.391982677,-3.16292126,0.237738583,0.389522835,0.20899685,0.317696063,0.666658268,0.264083465,0.458988976,0.214938583,0.415771654,0.322576378,0.202768504,0.545089764,country
0.554,0.828,9,-6.552,1,0.0492,0.00524,1.50E-06,0.255,0.581,86.005,209200,48.89404756,37.69728411,-9.112564456,-17.71561577,0.703142678,-23.18002753,-10.44783354,-3.60628786,-10.46582603,1.302962453,-8.863406758,-4.255177722,0.393254068,0.561942428,0.265506884,0.330833542,0.59364831,0.349360451,0.373817272,0.286172716,0.477296621,0.37291239,0.264158949,0.432387985,country
0.674,0.705,0,-7.516,1,0.0259,0.159,6.11E-06,0.106,0.635,95.99,217387,48.32560791,23.76866187,-28.96833213,-7.407059952,25.72503477,-26.4868729,-7.13431295,-9.052878897,0.226623501,2.134519185,-11.42129496,-0.015761391,0.623935252,0.482022782,0.290830935,0.186618705,0.24566307,0.320354916,0.237589928,0.338425659,0.222218225,0.379305755,0.266069544,0.231256595,country
0.626,0.341,7,-9.491,1,0.0272,0.81,0,0.158,0.412,97.591,251240,45.70018327,13.64733865,23.11213413,-16.52438247,16.94515139,-10.78789774,-14.25916467,2.225073041,-3.739533865,-3.603464807,-9.064108898,5.792685259,0.354082337,0.270707835,0.411800797,0.133195219,0.21277158,0.106665339,0.271675963,0.524682603,0.176888446,0.286359894,0.129837981,0.310301461,country
0.705,0.761,0,-4.579,1,0.0298,0.00385,0,0.186,0.819,99.986,182133,51.09204723,58.27892713,-16.27742915,-11.60534548,6.200476383,-20.56695412,-4.674139001,1.07282861,-7.686425101,5.147750337,-11.36102564,-3.901253711,0.658645074,0.420489879,0.341066127,0.224549258,0.290303644,0.472273954,0.306609987,0.371454791,0.285419703,0.311766532,0.339703104,0.391983806,country
0.535,0.777,4,-3.292,1,0.207,0.0187,1.62E-06,0.136,0.664,171.72,215107,51.26682197,77.88066898,-2.323265647,-10.6632879,15.31080807,-15.94010709,-6.1007121,-0.277080668,-0.616243394,0.439144645,-9.499805285,-3.768479833,0.482381085,0.537205841,0.267336579,0.31986509,0.52098331,0.297347705,0.392148818,0.281411683,0.410378303,0.342517385,0.27527121,0.409268428,country
0.689,0.614,4,-6.137,0,0.0306,0.252,1.95E-05,0.178,0.411,141.97,219053,48.91009736,17.45374131,-24.88522531,-10.19667177,18.29006537,-21.80484006,-3.175258693,-11.27773992,1.033496523,0.127258693,-11.42598887,5.56844089,0.333624478,0.254635605,0.374410292,0.179774687,0.339479833,0.304746871,0.399753825,0.32338943,0.156340751,0.261375522,0.173293463,0.456319889,country
0.375,0.889,3,-3.704,1,0.0991,0.0848,0,0.136,0.881,199.669,185200,54.32908727,45.74472532,3.151680973,-21.90240486,23.14327039,-27.38417454,-10.39799285,4.148881259,-19.4679299,-3.55258226,-5.04530329,-4.727,0.484526466,0.31851216,0.270412017,0.502927039,0.275143062,0.47383834,0.43346495,0.444376252,0.402183119,0.294321888,0.571945637,0.275473534,country
0.743,0.683,0,-8.497,1,0.0757,0.477,0,0.091,0.88,90.541,199693,47.21305941,19.14797649,-32.20461881,-13.57625743,23.3066547,-14.41172401,-16.91766089,-2.632778465,0.570915842,6.905431931,-13.49651238,0.398785891,0.53134901,0.33050495,0.304383663,0.271285891,0.33327599,0.306852723,0.331579208,0.521356436,0.333592822,0.392287129,0.258529703,0.299523515,country
0.551,0.657,6,-5.743,1,0.0287,0.0211,0,0.29,0.695,94.969,188556,49.51716107,58.25418624,23.64023154,-9.873454698,21.39725168,-24.62311745,-2.384078859,-1.947983221,-5.574184564,3.487318792,-10.83783557,-5.004010067,0.315318792,0.512681208,0.213692953,0.340830537,0.20415604,0.300340604,0.472468121,0.243241611,0.327177852,0.226043624,0.377189597,0.351833893,country
0.589,0.918,5,-4.192,0,0.132,0.0555,0,0.0868,0.622,77.14,209587,51.45649668,37.8740664,-5.42122178,-8.198103586,14.52163081,-18.70033997,-2.325098274,-4.226976096,0.613689243,1.444354582,-11.29828154,-1.183370518,0.414581673,0.463039841,0.348596282,0.348199203,0.32797344,0.453193891,0.355462151,0.432494024,0.420269588,0.41786587,0.679675963,0.286278884,country
0.549,0.869,4,-4.905,0,0.0289,0.00261,1.77E-06,0.29,0.433,91.988,178733,51.73738009,51.49921116,25.2520905,-6.895918552,3.146508296,-21.98162896,-1.434487179,-1.252045249,-10.31231222,1.144998492,-8.559134238,-6.449684766,0.520888386,0.542879336,0.42800905,0.305037707,0.489072398,0.26772549,0.275429864,0.361800905,0.234975867,0.285352941,0.197987934,0.299730015,country
0.687,0.842,7,-4.382,1,0.058,0.105,0,0.0436,0.778,87.968,190227,51.35212466,47.20439544,12.50858713,-1.235229223,26.05144504,-17.05626273,1.483182306,-1.722567024,-5.882104558,1.947012064,-12.19735523,-1.350065684,0.461369973,0.402557641,0.382812332,0.243524129,0.40572118,0.25561126,0.389018767,0.502150134,0.331848525,0.391262735,0.286435657,0.437689008,country
0.629,0.464,4,-8.72,1,0.0334,0.75,0,0.0853,0.523,156.051,195053,46.37861898,-23.12961756,1.954422096,-4.557807365,31.09334136,-15.5987238,-10.16810623,-7.423236544,-9.979490085,-2.318250708,-9.387769122,-4.65024221,0.28892068,0.381651558,0.155811615,0.213036827,0.475550992,0.248060907,0.386879603,0.190623229,0.352416431,0.272470255,0.18940085,0.53221813,country
0.351,0.736,6,-3.318,1,0.0459,0.00495,0,0.109,0.237,140.299,246467,51.82178625,42.78495665,4.09155157,-19.69840508,23.21482212,-28.11136472,3.998047833,-0.824526158,-0.782668161,-0.260207773,-10.2330867,-4.122059791,0.360729447,0.524976084,0.272008969,0.24564275,0.218940209,0.306340807,0.422557549,0.235721973,0.332624813,0.256544096,0.387396114,0.363436472,country
0.533,0.907,11,-3.793,1,0.0406,0.0292,0,0.386,0.7,150.99,183160,51.84505776,27.04266606,18.20312996,-4.894983755,15.07265884,-31.83065523,0.216483755,1.404687726,-11.84521661,4.030900722,-6.390945848,-2.746927798,0.319458484,0.422566787,0.25582491,0.429283394,0.419983755,0.304460289,0.594122744,0.336882671,0.376043321,0.254276173,0.293214801,0.491604693,country
0.383,0.703,4,-6.988,1,0.228,0.216,5.47E-06,0.131,0.57,88.502,213939,48.91513773,8.202045139,4.658398148,-1.798986111,22.97517245,-21.3171794,4.503626157,3.402822917,-10.99950463,-2.697440972,-11.2726794,2.966357639,0.427554398,0.380395833,0.229601852,0.358061343,0.362710648,0.243945602,0.359597222,0.259912037,0.390140046,0.379905093,0.361041667,0.542759259,country
0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,126267,45.58736449,79.90575701,42.23839019,4.514453271,21.84753738,-0.169168224,-13.64849299,-2.398074766,1.618271028,-0.732623832,-17.68399065,-2.303696262,0.415439252,0.423943925,0.263280374,0.404668224,0.248859813,0.376093458,0.214056075,0.384091121,0.39738785,0.246278037,0.363296729,0.226478972,country
0.616,0.438,1,-5.968,1,0.0298,0.356,0,0.24,0.386,135.929,213387,48.0440264,13.9118587,-4.198787267,-15.66293634,33.11490062,-19.82695186,3.176723602,0.028096273,-17.38985093,-2.166964286,-12.54067857,-5.023243789,0.295467391,0.618490683,0.187265528,0.293158385,0.185652174,0.346618012,0.353560559,0.180718944,0.345096273,0.15631677,0.254543478,0.153284161,country
0.472,0.884,9,-2.306,1,0.0584,0.185,0,0.178,0.718,159.96,216093,54.05817746,48.56318732,20.7999493,-9.944798592,30.71855352,-27.35825634,-7.665177465,-1.628149296,-10.66575915,-2.964749296,-6.331438028,-3.362725352,0.36333662,0.593407042,0.458125352,0.321169014,0.527890141,0.279328169,0.388233803,0.282173239,0.358816901,0.547264789,0.239547887,0.345514085,country
0.386,0.799,2,-3.789,1,0.0555,0.201,0,0.103,0.391,86.333,213024,51.19769241,29.16247034,20.86244,-3.385427586,35.72427586,-26.69459034,-0.766073103,-2.64585931,-12.1622731,0.203384828,-8.651412414,-7.061591724,0.31332,0.342106207,0.44616,0.193169655,0.33274069,0.280227586,0.479386207,0.373398621,0.322628966,0.561613793,0.276222069,0.294892414,country
0.544,0.49,5,-4.627,1,0.0322,0.272,0,0.138,0.384,115.02,206827,50.73142149,7.147128099,12.9153719,-18.2412624,17.04519008,-20.42093595,0.40706405,-0.213055785,1.521491736,-0.011256198,-10.24547934,-7.773504132,0.442667355,0.249909091,0.395599174,0.140392562,0.174795455,0.440619835,0.187795455,0.281107438,0.180047521,0.340022727,0.330057851,0.187495868,country
0.711,0.696,7,-5.05,1,0.0871,0.16,0,0.17,0.694,80.512,189533,49.51780804,56.6969375,12.90220685,-2.807409226,23.02716071,-11.76207292,-9.203717262,-0.055166667,-6.183921131,0.829144345,-12.25066667,-2.3919375,0.428885417,0.408787202,0.517748512,0.264077381,0.378272321,0.245059524,0.316520833,0.480489583,0.276386905,0.385501488,0.223590774,0.385260417,country
0.548,0.765,6,-5.297,1,0.0393,0.0063,0,0.0438,0.744,142.099,199107,51.7813543,51.12301159,9.055922185,-8.432081126,20.8094702,-27.27296854,-0.263672185,-2.154850993,-7.320548013,3.907495033,-9.956210265,-2.64739404,0.359753311,0.51992053,0.273953642,0.375965232,0.267410596,0.335296358,0.501263245,0.256953642,0.310264901,0.26460596,0.408428808,0.385339404,country
0.565,0.855,5,-4.189,1,0.0557,0.0445,0,0.32,0.852,74.98,208893,53.27699015,66.67484529,12.74998172,-13.38617159,21.82305907,-21.50670323,8.710887482,1.803900141,-0.774659634,1.182004219,-11.45067511,2.385343179,0.704347398,0.407309423,0.343316456,0.292420534,0.299819972,0.53845429,0.325518987,0.36581294,0.26874121,0.360395218,0.392431786,0.36159353,country
0.439,0.752,8,-4.143,1,0.0375,0.116,0,0.133,0.456,166.051,199907,52.09597742,34.84506935,15.36938387,-12.98193548,17.73650484,-23.67482742,0.519759677,-0.386414516,-4.934006452,0.236322581,-8.82335,1.052422581,0.404925806,0.468182258,0.252579032,0.482022581,0.200283871,0.264974194,0.216324194,0.306741935,0.535382258,0.261462903,0.334896774,0.183283871,country
0.628,0.708,11,-7.045,0,0.0287,0.309,1.32E-06,0.109,0.276,111.047,288573,48.84785554,6.10343673,-15.19979955,-19.48885778,22.06840873,-28.95672788,-13.12866853,-11.41965733,1.867473684,-0.081580067,-8.739507279,0.428590146,0.24056439,0.27912542,0.274254199,0.171567749,0.371011198,0.168244121,0.290451288,0.243266517,0.23331019,0.586470325,0.206461366,0.51587682,country
0.731,0.469,5,-7.226,1,0.0326,0.463,1.04E-06,0.103,0.631,98.963,165387,47.71869894,4.417628521,3.998614437,-7.616512324,20.97314965,-11.31605282,-13.3466338,-6.500251761,-15.86477289,-6.631492958,-9.768786972,-4.790994718,0.630605634,0.41225,0.324681338,0.23043662,0.295596831,0.517137324,0.252007042,0.386271127,0.185642606,0.329961268,0.170633803,0.201295775,country
0.557,0.511,8,-6.788,1,0.0291,0.254,0,0.099,0.602,156.042,230973,48.10190278,7.885631944,-14.20838889,-18.45100972,15.06011806,-22.0188125,-18.97501111,-7.311076389,0.732738889,0.651440278,-9.486095833,-1.684352778,0.384611111,0.5293875,0.221194444,0.437329167,0.200808333,0.280861111,0.154013889,0.2316625,0.433509722,0.191547222,0.3121125,0.193716667,country
0.489,0.9,7,-3.563,1,0.0488,0.0441,0,0.247,0.611,200.054,182693,52.93011299,55.14325,9.723946328,-5.566170904,28.73331497,-28.95722458,-0.736165254,1.192478814,-14.60533757,2.664038136,-8.091622881,-4.977570621,0.434450565,0.512577684,0.463358757,0.282485876,0.420853107,0.306786723,0.363223164,0.51065678,0.283112994,0.398446328,0.226535311,0.291837571,country
0.614,0.614,4,-7.497,0,0.0314,0.104,3.59E-05,0.104,0.598,146.03,192680,46.14455633,22.47373574,-8.126567455,-9.970094576,20.66583449,-20.67167872,-3.702742698,-9.661255911,-3.572077886,-0.452343533,-9.303159944,2.794876217,0.367129346,0.279111266,0.297276773,0.198959666,0.443126565,0.238751043,0.294748261,0.401724618,0.189166898,0.198631433,0.182860918,0.476968011,country
0.607,0.575,8,-7.066,1,0.0252,0.133,2.52E-06,0.0566,0.504,78.341,180907,48.6801418,38.662186,-18.04681952,-13.48967035,19.59830755,-21.07523573,6.344546961,-3.368034991,-2.125305709,-3.217801105,-8.352909761,4.853570902,0.37192081,0.316357274,0.190904236,0.384046041,0.214027624,0.253898711,0.201290976,0.265427256,0.594736648,0.214626151,0.204360958,0.157316759,country
